id,article_id,media_id,media_name,title,link,original_id,is_origin,article_published_at,created_at,latest_scraped_at,sentiment,sentiment_label
327,0011720250,056,KBS,부산 금융권 ‘부실 PF’ 정리 착수,/item/news_read.naver?article_id=0011720250&office_id=056&code=138930&page=2&sm=,,1,2024-05-13 21:47:00.000000,2024-05-16 17:28:10.179655,,[[0.8135392  0.18517101 0.00128977]],Negative
441,0011686779,056,KBS,"“퇴직금 부담 낮춘다”…근로복지공단-CU, ‘푸른씨앗’ 확산 업무협약",/item/news_read.naver?article_id=0011686779&office_id=056&code=027410&page=2&sm=,0220003916907,0,2024-03-22 15:03:00.000000,2024-05-16 17:28:14.970427,2024-05-17 02:54:50.156834,[[9.6426629e-05 9.9931812e-01 5.8552925e-04]],Neutral
583,0011667460,056,KBS,KT&G 차기 사장 최종후보에 방경만 수석부사장,/item/news_read.naver?article_id=0011667460&office_id=056&code=006840&page=4&sm=,,1,2024-02-22 19:45:00.000000,2024-05-16 17:28:21.393153,2024-05-17 02:54:56.304300,[[4.5890665e-05 9.9986219e-01 9.1897695e-05]],Neutral
309,0011720529,056,KBS,부산 금융권 ‘부실 PF’ 정리 착수,/item/news_read.naver?article_id=0011720529&office_id=056&code=138930&page=2&sm=,,0,2024-05-14 07:41:00.000000,2024-05-16 17:28:10.155912,,[[0.8135392  0.18517101 0.00128977]],Negative
335,0011720084,056,KBS,부산 금융권 ‘부실 PF’ 정리 착수,/item/news_read.naver?article_id=0011720084&office_id=056&code=138930&page=2&sm=,0560011720250,0,2024-05-13 19:19:00.000000,2024-05-16 17:28:11.207397,,[[0.8135392  0.18517101 0.00128977]],Negative
600,0011715828,056,KBS,"금감원, 경남은행 3천억 원대 사고 제재 다음 달 결정",/item/news_read.naver?article_id=0011715828&office_id=056&code=138930&page=4&sm=,,0,2024-05-07 08:01:00.000000,2024-05-16 17:28:21.413794,,[[2.8595697e-02 9.7063702e-01 7.6731469e-04]],Neutral
606,0011715550,056,KBS,"금감원, 경남은행 3천억 원대 사고 제재 다음 달 결정",/item/news_read.naver?article_id=0011715550&office_id=056&code=138930&page=4&sm=,,0,2024-05-06 19:24:00.000000,2024-05-16 17:28:21.418911,,[[2.8595697e-02 9.7063702e-01 7.6731469e-04]],Neutral
578,0001334401,214,MBC,"코스닥, 외인·기관 팔자에 1% ↓‥코스피 2,650선",/item/news_read.naver?article_id=0001334401&office_id=214&code=001460&page=3&sm=,,0,2024-03-05 12:20:00.000000,2024-05-16 17:28:20.376822,,[[2.0668878e-04 9.9968004e-01 1.1328549e-04]],Neutral
571,0001801162,057,MBN,KT&G 차기 사장 최종후보에 방경만 현 수석부사장,/item/news_read.naver?article_id=0001801162&office_id=057&code=006840&page=4&sm=,,1,2024-02-23 09:39:00.000000,2024-05-16 17:28:19.851153,2024-05-17 02:54:55.587980,[[4.7971294e-05 9.9986494e-01 8.7085922e-05]],Neutral
586,0001133137,055,SBS,KT&G 차기 사장 최종후보에 방경만 수석부사장,/item/news_read.naver?article_id=0001133137&office_id=055&code=006840&page=4&sm=,0560011667460,0,2024-02-22 19:13:00.000000,2024-05-16 17:28:21.398347,2024-05-17 02:54:56.155089,[[4.5890665e-05 9.9986219e-01 9.1897695e-05]],Neutral
